match_id,date,league,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_form_points,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_form_points,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_goals,home_total_matches,away_avg_goals,away_total_matches,total_goals,over_2_5,btts,home_win,draw,away_win,home_scoring_trend,away_scoring_trend,form_difference,home_form_normalized,away_form_normalized,h2h_home_dominance,h2h_away_dominance,h2h_balance,home_defensive_rating,away_defensive_rating,expected_goals_combined
15,2020-09-20,PL,1,0,0,3,1,3,1,0,0,4,3,3,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1,0.0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.2,0.6,0.4
16,2020-09-20,PL,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,1,1,1,0,0,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,2020-09-20,PD,0,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1,0.0,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.4,0.30000000000000004
1912,2020-09-20,PD,1,0,0,1,0,3,0,1,0,1,1,1,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0,0.0,0.0,2,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.1
1913,2020-09-20,PD,1,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1
1914,2020-09-20,PD,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,1,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.0,0.1
3808,2020-09-20,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3809,2020-09-20,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-09-21,PL,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
18,2020-09-21,PL,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3810,2020-09-25,BL1,1,0,0,4,1,3,0,1,0,1,1,1,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1,0.0,0.0,2,0.2,0.06666666666666667,0.0,0.0,0.0,0.2,0.2,0.2
19,2020-09-26,PL,1,0,1,4,3,3,0,0,1,1,3,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1,0.0,0.0,3,0.2,0.0,0.0,0.0,0.0,0.6,0.6,0.6
20,2020-09-26,PL,2,0,0,4,1,6,2,0,0,6,2,6,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1,0.0,0.0,0,0.4,0.4,0.0,0.0,0.0,0.2,0.4,0.30000000000000004
21,2020-09-26,PL,0,0,2,2,8,0,1,0,1,3,3,3,0,0,0,0.0,0,0.0,0,6,1,1,0,1,0,0.0,0.0,-3,0.0,0.2,0.0,0.0,0.0,1.6,0.6,1.1
22,2020-09-26,PL,0,0,1,2,4,0,0,0,2,2,6,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.0
1915,2020-09-26,PD,0,0,2,1,3,0,1,0,0,1,0,3,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,-3,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.3
1916,2020-09-26,PD,1,0,1,5,4,3,0,1,1,1,3,1,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,2,0.2,0.06666666666666667,0.0,0.0,0.0,0.8,0.6,0.7
1917,2020-09-26,PD,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1,0.0,0.0,-2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.1
1918,2020-09-26,PD,2,0,0,3,0,6,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1,0.0,0.0,5,0.4,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
